Country,Vaccine,Recommendations
guadeloupe,Hepatitis B,Recommended for unvaccinated travelers of all ages to Guadeloupe.
guadeloupe,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
guadeloupe,Rabies,"Guadeloupe is free of dog rabies. However, rabies may still be present in wildlife species, particularly bats. CDC recommends rabies vaccination before travel only for people working directly with wildlife. These people may include veterinarians, animal handlers, field biologists, or laboratory workers working with specimens from mammalian species."
guadeloupe,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
guadeloupe,Yellow Fever,"Required if traveling from a country with risk of YF virus transmission and ≥1 year of age, including transit >12 hours in a country with risk of YF virus transmission.1


Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
guam,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
guam,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Guam.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
guam,Hepatitis B,Recommended for unvaccinated travelers of all ages to Guam.
guam,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
guatemala,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
guatemala,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Guatemala.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
guatemala,Hepatitis B,Recommended for unvaccinated travelers of all ages to Guatemala.
guatemala,Malaria,"CDC recommends that travelers going to certain areas of Guatemala take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
guatemala,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
guatemala,Rabies,"Rabid dogs are commonly found in Guatemala. If you are bitten or scratched by a dog or other mammal while in Guatemala, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Guatemala."
guatemala,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
guatemala,Yellow Fever,"Required if traveling from a country with risk of YF virus transmission and ≥1 year of age, including transit >12 hours in an airport located in a country with risk of YF virus transmission.1


Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
guinea,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
guinea,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Guinea.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
guinea,Hepatitis B,Recommended for unvaccinated travelers of all ages to Guinea.
guinea,Malaria,"CDC recommends that travelers going to Guinea take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
guinea,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
guinea,Meningitis (Meningococcal disease),Recommended for travelers 2 months old or older traveling to Guinea during the dry season (December to June).
guinea,Rabies,"Rabid dogs are commonly found in Guinea. If you are bitten or scratched by a dog or other mammal while in Guinea, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Guinea."
guinea,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
guinea,Yellow Fever,"Required if traveling from a country with risk of YF virus transmission and ≥9 months of age.1

Recommended for all travelers ≥9 months of age.

Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
guinea-bissau,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
guinea-bissau,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Guinea-Bissau.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
guinea-bissau,Hepatitis B,Recommended for unvaccinated travelers of all ages to Guinea-Bissau.
guinea-bissau,Malaria,"CDC recommends that travelers going to Guinea-Bissau take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
guinea-bissau,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
guinea-bissau,Meningitis (Meningococcal disease),Recommended for travelers 2 months old or older traveling to Guinea-Bissau during the dry season (December to June).
guinea-bissau,Rabies,"Rabid dogs are commonly found in Guinea-Bissau. If you are bitten or scratched by a dog or other mammal while in Guinea-Bissau, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Guinea-Bissau."
guinea-bissau,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
guinea-bissau,Yellow Fever,"Required for arriving travelers from all countries if traveler is ≥1 year of age.

Recommended for all travelers ≥9 months of age.

Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
guyana,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
guyana,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Guyana.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
guyana,Hepatitis B,Recommended for unvaccinated travelers of all ages to Guyana.
guyana,Malaria,"CDC recommends that travelers going to certain areas of Guyana take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
guyana,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
guyana,Rabies,"Rabid dogs are commonly found in Guyana. If you are bitten or scratched by a dog or other mammal while in Guyana, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Guyana."
guyana,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
guyana,Yellow Fever,"Required if traveling from a country with risk of YF virus transmission and ≥1 year of age, including transit >4 hours in an airport located in a country with risk of YF virus transmission.1 This requirement excludes Argentina, Paraguay, and Trinidad and Tobago.

Recommended for all travelers ≥9 months of age.

Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
haiti,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
haiti,Cholera,Vaccination may be considered for adults who are traveling to areas of active cholera transmission. Active cholera transmission is widespread in Haiti. Cholera is rare in travelers but can be severe. Certain factors may increase the risk of getting cholera or having severe disease (more information). Avoiding unsafe food and water and washing your hands can also help prevent cholera.
haiti,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Haiti.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
haiti,Hepatitis B,Recommended for unvaccinated travelers of all ages to Haiti.
haiti,Malaria,"CDC recommends that travelers going to Haiti take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
haiti,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
haiti,Rabies,"Rabid dogs are commonly found in Haiti. If you are bitten or scratched by a dog or other mammal while in Haiti, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Haiti."
haiti,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
haiti,Yellow Fever,"Required if traveling from a country with risk of YF virus transmission and ≥1 year of age.1


Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
italy,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
italy,Hepatitis A,"Consider for most travelers; recommended for travelers at higher risk (e.g. visiting smaller cities, villages, or rural areas where exposure might occur through food or water; or prone to ""adventurous eating"")"
italy,Hepatitis B,Recommended for unvaccinated travelers of all ages to Italy.
italy,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
italy,Rabies,"Italy is free of dog rabies. However, rabies may still be present in wildlife species, particularly bats. CDC recommends rabies vaccination before travel only for people working directly with wildlife. These people may include veterinarians, animal handlers, field biologists, or laboratory workers working with specimens from mammalian species."
honduras,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
honduras,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Honduras.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
honduras,Hepatitis B,Recommended for unvaccinated travelers of all ages to Honduras.
honduras,Malaria,"CDC recommends that travelers going to certain areas of Honduras take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
honduras,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
honduras,Rabies,"Rabid dogs are commonly found in Honduras. If you are bitten or scratched by a dog or other mammal while in Honduras, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Honduras."
honduras,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
honduras,Yellow Fever,"Required if traveling from a country with risk of YF virus transmission and ≥1 year of age.1


Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
hong-kong-sar,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
hong-kong-sar,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Hong Kong.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
hong-kong-sar,Hepatitis B,Recommended for unvaccinated travelers of all ages to Hong Kong.
hong-kong-sar,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
hong-kong-sar,Rabies,"Hong Kong is free of dog rabies. However, rabies may still be present in wildlife species, particularly bats. CDC recommends rabies vaccination before travel only for people working directly with wildlife. These people may include veterinarians, animal handlers, field biologists, or laboratory workers working with specimens from mammalian species."
hong-kong-sar,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
hungary,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
hungary,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Hungary.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
hungary,Hepatitis B,Recommended for unvaccinated travelers of all ages to Hungary.
hungary,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
hungary,Rabies,"Rabid dogs are commonly found in Hungary. However, if you are bitten or scratched by a dog or other mammal while in Hungary, rabies treatment is often available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Hungary."
iceland,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
iceland,Hepatitis A,"Consider for most travelers; recommended for travelers at higher risk (e.g. visiting smaller cities, villages, or rural areas where exposure might occur through food or water; or prone to ""adventurous eating"")"
iceland,Hepatitis B,Recommended for unvaccinated travelers of all ages to Iceland.
iceland,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
iceland,Rabies,"Iceland is free of dog rabies. However, rabies may still be present in wildlife species, particularly bats. CDC recommends rabies vaccination before travel only for people working directly with wildlife. These people may include veterinarians, animal handlers, field biologists, or laboratory workers working with specimens from mammalian species."
india,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
india,Cholera,Vaccination may be considered for adults who are traveling to areas of active cholera transmission. Cholera is presumed to be present in India. Cholera is rare in travelers but can be severe. Certain factors may increase the risk of getting cholera or having severe disease (more information). Avoiding unsafe food and water and washing your hands can also help prevent cholera.
india,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to India.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
india,Hepatitis B,Recommended for unvaccinated travelers of all ages to India.
india,Japanese Encephalitis,"Recommended for travelers who
Are moving to an area with Japanese encephalitis to live
    Spend long periods of time, such as a month or more, in areas with Japanese encephalitis
    Frequently travel to areas with Japanese encephalitis
Consider vaccination for travelers
Spending less than a month in areas with Japanese encephalitis but will be doing activities that increase risk of infection, such as visiting rural areas, hiking or camping, or staying in places without air conditioning, screens, or bed nets
    Going to areas with Japanese encephalitis who are uncertain of their activities or how long they will be there
Not recommended for travelers planning short-term travel to urban areas or travel to areas with no clear Japanese encephalitis season."
india,Malaria,"CDC recommends that travelers going to certain areas of India take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
india,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
india,Rabies,"Rabid dogs are commonly found in India. If you are bitten or scratched by a dog or other mammal while in India, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to India."
india,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
india,Yellow Fever,"Any traveler (except infants <9 months old) arriving by air or sea without a yellow fever vaccination certificate is detained in isolation for up to 6 days if that person—
    1) arrives within 6 days of departure from an area with risk of YF virus transmission,
    2) has been in such an area in transit (except those passengers and members of flight crews who, while in transit through an airport in an area with risk of YF virus transmission, remained in the airport during their entire stay and the health officer agrees to such an exemption),
    3) arrives on a ship that started from or touched at any port in an area with risk of YF virus transmission up to 30 days before its arrival in India, unless such a ship has been disinsected in accordance with the procedure recommended by WHO, or
    4) arrives on an aircraft that has been in an area with risk of YF virus transmission and has not been disinsected in accordance with the Indian Aircraft Public Health Rules, 1954, or as recommended by WHO.
    The following are regarded as countries and areas with risk of YF virus transmission:Africa: Angola, Benin, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Congo, Côte d’Ivoire, Democratic Republic of the Congo, Equatorial Guinea, Ethiopia, Gabon, The Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Liberia, Mali, Mauritania, Niger, Nigeria, Rwanda, Senegal, Sierra Leone, South Sudan, Sudan, Togo, and Uganda.Americas: Argentina, Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Panama, Paraguay, Peru, Suriname, Trinidad and Tobago (Trinidad only), and Venezuela.Note: When a case of yellow fever is reported from any country, that country is regarded by the government of India as a country with risk of YF virus transmission and is added to the above list.


Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
indonesia,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
indonesia,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Indonesia.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
indonesia,Hepatitis B,Recommended for unvaccinated travelers of all ages to Indonesia.
indonesia,Japanese Encephalitis,"Recommended for travelers who
Are moving to an area with Japanese encephalitis to live
    Spend long periods of time, such as a month or more, in areas with Japanese encephalitis
    Frequently travel to areas with Japanese encephalitis
Consider vaccination for travelers
Spending less than a month in areas with Japanese encephalitis but will be doing activities that increase risk of infection, such as visiting rural areas, hiking or camping, or staying in places without air conditioning, screens, or bed nets
    Going to areas with Japanese encephalitis who are uncertain of their activities or how long they will be there
Not recommended for travelers planning short-term travel to urban areas or travel to areas with no clear Japanese encephalitis season."
indonesia,Malaria,"CDC recommends that travelers going to certain areas of Indonesia take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
indonesia,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
indonesia,Rabies,"Rabid dogs are commonly found in Indonesia. If you are bitten or scratched by a dog or other mammal while in Indonesia, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Indonesia."
indonesia,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
indonesia,Yellow Fever,"Required if traveling from a country with risk of YF virus transmission and ≥9 months of age.1


Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
iran,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
iran,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Iran.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
iran,Hepatitis B,Recommended for unvaccinated travelers of all ages to Iran.
iran,Malaria,"CDC recommends that travelers going to certain areas of Iran take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
iran,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
iran,Polio,"Recommended for travelers who will be in situations with a high risk of exposure to someone with imported poliovirus. These situations include working in health care settings involving direct patient contact, refugee camps, or other humanitarian aid settings.
A single lifetime booster dose of inactivated polio vaccine (IPV) is recommended for adults who received the routine vaccination series as children; the routine series is recommended for unvaccinated or incompletely vaccinated children and adults and those with unknown vaccination status."
iran,Rabies,"Rabid dogs are commonly found in Iran. If you are bitten or scratched by a dog or other mammal while in Iran, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Iran."
iran,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
iran,Yellow Fever,"Required if traveling from a country with risk of YF virus transmission and ≥9 months of age, including transit >12 hours in an airport located in a country with risk of YF virus transmission.1


Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
iraq,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
